"","drug_concept_id","drug","ingredient_concept_id","ingredient","variable","n_records","n_sample","n_person","n_records_not_missing_value","n_records_missing_value","proportion_records_missing_value","result_obscured","cdm_name"
"1",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_exposure_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"2",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_person_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"3",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_concept_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"4",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_exposure_start_date",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"5",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_exposure_end_date",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"6",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_verbatim_end_date",5867,10000,5.77562739988417e-321,0,5867,1,FALSE,"GOLD_100k"
"7",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_type_concept_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"8",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_quantity",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"9",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_days_supply",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"10",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_sig",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"11",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_route_concept_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"12",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_source_value",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"13",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_drug_source_concept_id",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"14",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_route_source_value",5867,10000,5.77562739988417e-321,5867,0,0,FALSE,"GOLD_100k"
"15",19006595,"lymecycline 408 MG Oral Capsule",19092353,"lymecycline","n_missing_dose_unit_source_value",5867,10000,5.77562739988417e-321,0,5867,1,FALSE,"GOLD_100k"
"16",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_exposure_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"17",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_person_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"18",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_concept_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"19",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_exposure_start_date",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"20",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_exposure_end_date",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"21",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_verbatim_end_date",393,10000,2.86558074587923e-322,0,393,1,FALSE,"GOLD_100k"
"22",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_type_concept_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"23",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_quantity",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"24",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_days_supply",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"25",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_sig",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"26",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_route_concept_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"27",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_source_value",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"28",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_drug_source_concept_id",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"29",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_route_source_value",393,10000,2.86558074587923e-322,393,0,0,FALSE,"GOLD_100k"
"30",21123581,"Lymecycline 408 MG Oral Capsule [Tetralysal] by Galderma",19092353,"lymecycline","n_missing_dose_unit_source_value",393,10000,2.86558074587923e-322,0,393,1,FALSE,"GOLD_100k"
"31",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"32",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"33",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"34",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"35",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"36",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"37",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
"38",19061668,"hydrocortisone 0.01 MG/MG / oxytetracycline 0.03 MG/MG Topical Ointment",925952,"oxytetracycline",NA,NA,NA,NA,NA,NA,NA,TRUE,"GOLD_100k"
